,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,usdc_borrow_balance,wbtc_borrow_balance,comp_borrow_balance,uni_borrow_balance,link_borrow_balance,weth_collateral_balance,usdc_collateral_balance,wbtc_collateral_balance,comp_collateral_balance,uni_collateral_balance,link_collateral_balance
0,26-8-2022,15412445,27,1,26,8,0,0.0,0,0,0,0,0.0,0,0,0,0,0
1,26-8-2022,15412448,,1,26,8,0,0.028404,0,0,0,0,3e-05,0,0,0,0,0
2,26-8-2022,15412456,0,1,26,8,0,0.0,0,0,0,0,0.0,0.999999,0,0.0,0,0
3,26-8-2022,15412540,249,1,26,8,0,0.0,0,0,0,0,1.64900524e-10,0,0.0,0,0,0
4,26-8-2022,15412659,,2,26,8,0,0.045042,0,0,0,0,0.0001,0,0,0,0,0
5,26-8-2022,15412753,75,2,26,8,0,0.0,0,0,0,0,0.0,0,0,0,0,0
6,26-8-2022,15412833,,2,26,8,0,0.163977,0,0,0,0,0.001,0,0,0,0,0
7,26-8-2022,15412970,39,3,26,8,0,0.0,0,0,0,0,0,0,0,0,0.0,0
8,26-8-2022,15413365,27,4,26,8,0,0.0,0,0,0,0,0.0,0,0,0,0,0
9,26-8-2022,15413729,0,6,26,8,0,0.0,0,0,0,0,0.0,0,0,0,0,0
10,26-8-2022,15414293,,8,26,8,0,300.0,0,0,0,0,0,0,0,21.0,0,0
11,26-8-2022,15414460,0,9,26,8,0,0.0,0,0,0,0,0.05,99.999999,0,0,0,0
12,26-8-2022,15414632,0,9,26,8,0,0.0,0,0,0,0,0.05,99.999999,0,0,0,0
13,26-8-2022,15414662,2,9,26,8,0,0.0,0,0,0,0,0.05,99.999999,0,0,0,0
14,26-8-2022,15415601,1,13,26,8,0,0.0,0,0,0,0,0.0,0.0,0,0.0,0,0
15,26-8-2022,15415703,53,13,26,8,0,0.0,0,0,0,0,7.98161866e-10,0,0,0,0,0
16,26-8-2022,15416186,,15,26,8,0,318.8835,0,0,0,0,1.0,0,0,0,0,0
17,26-8-2022,15416233,0,15,26,8,0,0.0,0,0,0,0,0.0,0,0,0,0,0
18,26-8-2022,15416929,481,18,26,8,0,0.0,0,0,0,0,8.6350247e-10,0,0,0,0,0
19,27-8-2022,15420016,74,6,27,8,0,0.0,0,0,0,0,0.0,0,0,0,0,0
20,27-8-2022,15421910,0,13,27,8,0,0.0,0,0,0,0,0,0,0.0,0,0,0
21,27-8-2022,15422669,46,16,27,8,0,0.0,0,0,0,0,0.0,0,0,3.4648913136e-08,0,0
22,27-8-2022,15423930,,21,27,8,0,0.038796,0,0,0,0,0.0001,0,0,0,0,0
23,28-8-2022,15427089,75,9,28,8,0,0.0,0,0,0,0,0.0,0.0,0.0,2.603893906e-08,0.0,0.0
24,29-8-2022,15432739,,7,29,8,0,8.7e-05,0,0,0,0,1e-07,0,0,0,0,0
25,29-8-2022,15433952,,11,29,8,0,100.0,0,0,0,0,0.2,0,0,0,0,0
26,29-8-2022,15435778,,18,29,8,0,325851.108108,0,0,0,0,0,0,9.0,37.945271,0,0
27,29-8-2022,15436656,,22,29,8,0,4e-06,0,0,0,0,0.10025630568466852,0.0,0,0,0,0
28,30-8-2022,15437837,0,2,30,8,0,0.0,0,0,0,0,0,0,0.0,0,0,0
29,31-8-2022,15444774,102,5,31,8,0,188919.970781,0,0,0,0,176.5,0,0,0,0,0
30,31-8-2022,15448576,287,20,31,8,0,0.0,0,0,0,0,5.42771577e-10,0,0,0,0,0
31,1-9-2022,15449892,551,1,1,9,0,0.0,0,0,0,0,4.38950995e-10,0,0,0,0,0
32,1-9-2022,15453264,,13,1,9,0,5.6e-05,0,0,0,0,1e-07,0,0,0,0,0
33,1-9-2022,15455540,40,22,1,9,0,175059.753841,0,0,0,0,100.0,0,0,0,0,0
34,3-9-2022,15465142,0,11,3,9,0,0.0,0,0,0,0,0.0,0,0,0,0,0
35,4-9-2022,15469216,27,3,4,9,0,0.0,0,0,0,0,0.0,0,0,0,0,0
36,5-9-2022,15475153,0,2,5,9,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0
37,5-9-2022,15476044,,5,5,9,0,0.000113,0,0,0,0,1e-06,0,0,0,0,0
38,5-9-2022,15480302,64,22,5,9,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0
39,6-9-2022,15481030,3,0,6,9,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
40,6-9-2022,15482259,214,5,6,9,0,1400.0,0,0,0,0,0.34,0,0,1.4957001785790267,712.2080156919368,0
41,6-9-2022,15482930,,8,6,9,0,3299.054561,0,0,0,0,3.2,0,0,0,0,0
42,6-9-2022,15483710,64,11,6,9,0,441.471468,0,0,0,0,0.006,0,0.02015948,0,0,0
43,6-9-2022,15484299,21,13,6,9,0,0.0,0,0,0,0,1.125859986e-09,0,0,0,0,0
44,7-9-2022,15489035,63,7,7,9,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0
45,7-9-2022,15491576,0,17,7,9,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0
46,7-9-2022,15491910,3,18,7,9,0,0.0,0,0,0,0,0.0,0,0,0,0,0
47,8-9-2022,15494927,156,6,8,9,0,0.0,0,0,0,0,0.0,0,0,0,1.59048112227e-07,0
48,9-9-2022,15502817,106,12,9,9,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0
49,9-9-2022,15504645,3,20,9,9,0,0.0,0,0,0,0,0.0,0,0,0,0,0
50,10-9-2022,15506133,2,1,10,9,0,0.0,0,0,0,0,0,0,0.0,0.0,1.54647209504e-07,0
