,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,weth_collateral_balance,weth_borrow_balance_share,weth_collateral_balance_share,usdc_borrow_balance,usdc_collateral_balance,usdc_borrow_balance_share,usdc_collateral_balance_share,wbtc_borrow_balance,wbtc_collateral_balance,wbtc_borrow_balance_share,wbtc_collateral_balance_share,comp_borrow_balance,comp_collateral_balance,comp_borrow_balance_share,comp_collateral_balance_share,uni_borrow_balance,uni_collateral_balance,uni_borrow_balance_share,uni_collateral_balance_share,link_borrow_balance,link_collateral_balance,link_borrow_balance_share,link_collateral_balance_share,collateral_usd_balance,borrow_usd_balance,borrow-collateral-ratio
0,26-8-2022,15412445,27.0,1,26,8,0.0,0.0,,,0.0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0.0,0.0,0.0
1,26-8-2022,15412448,,1,26,8,0.0,2.9999999999999997e-05,0.0,1.0,0.028404000000000002,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05032146368763281,0.028406004202482082,0.5644908180495403
2,26-8-2022,15412456,0.0,1,26,8,0.0,0.0,,0.0,0.0,0.999999,,1.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,1.000069560501263,0.0,0.0
3,26-8-2022,15412540,249.0,1,26,8,0.0,1.6490052399999999e-10,,1.0,0.0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,2.768134148927335e-07,0.0,0.0
4,26-8-2022,15412659,,2,26,8,0.0,0.0001,0.0,1.0,0.045042,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.16835328064176008,0.04504534908477591,0.2675644270967797
5,26-8-2022,15412753,75.0,2,26,8,0.0,0.0,,,0.0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0,0
6,26-8-2022,15412833,,2,26,8,0.0,0.001,0.0,1.0,0.163977,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6843564979895158,0.1639892701755925,0.09736019089268431
7,26-8-2022,15412970,39.0,3,26,8,0.0,0.0,,,0.0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0,0
8,26-8-2022,15413365,27.0,4,26,8,0.0,0.0,,,0.0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0,0
9,26-8-2022,15413729,0.0,6,26,8,0.0,0.0,,,0.0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0,0
10,26-8-2022,15414293,,8,26,8,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,21.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6448.19188839721,300.01997185161446,0.046527767325204195
11,26-8-2022,15414460,0.0,9,26,8,0.0,0.05,,0.45380565914165655,0.0,99.999999,,0.5461943408583434,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,183.09697979874846,0.0,0.0
12,26-8-2022,15414632,0.0,9,26,8,0.0,0.05,,0.4538066270486442,0.0,99.999999,,0.5461933729513557,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,183.09661008471238,0.0,0.0
13,26-8-2022,15414662,2.0,9,26,8,0.0,0.05,,0.45380669663293927,0.0,99.999999,,0.5461933033670606,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,183.09658200965612,0.0,0.0
14,26-8-2022,15415601,1.0,13,26,8,0.0,0.0,,,0.0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0,0
15,26-8-2022,15415703,53.0,13,26,8,0.0,7.98161866e-10,,1.0,0.0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,1.3409415450828305e-06,0.0,0.0
16,26-8-2022,15416186,,15,26,8,0.0,1.0,0.0,1.0,318.8835,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1600.4088537913224,318.8959468999725,0.19925904942634953
17,26-8-2022,15416233,0.0,15,26,8,0.0,0.0,,,0.0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0,0
18,26-8-2022,15416929,481.0,18,26,8,0.0,8.635024699999999e-10,,1.0,0.0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,0,0.0,,0.0,1.3320551806409576e-06,0.0,0.0
19,27-8-2022,15420016,74.0,6,27,8,0.0,0.0,,,0.0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0,0
20,27-8-2022,15421910,0.0,13,27,8,0.0,0.0,,,0.0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0.0,,,0,0,0
21,27-8-2022,15422669,46.0,16,27,8,0.0,0.0,,0.0,0.0,0.0,,0.0,0,0.0,,0.0,0,3.4648913136000004e-08,,1.0,0,0.0,,0.0,0,0.0,,0.0,1.0639182886920703e-05,0.0,0.0
22,27-8-2022,15423930,,21,27,8,0.0,0.0001,0.0,1.0,0.038796,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1478469034864825,0.03879684884935535,0.2624123193280305
23,28-8-2022,15427089,75.0,9,28,8,0.0,0.0,,0.0,0.0,0.0,,0.0,0,0.0,,0.0,0,2.603893906e-08,,1.0,0,0.0,,0.0,0,0.0,,0.0,7.995432172817204e-06,0.0,0.0
24,29-8-2022,15432739,,7,29,8,0.0,1e-07,0.0,1.0,8.7e-05,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00014540915014389291,8.70118948659396e-05,0.598393531492585
25,29-8-2022,15433952,,11,29,8,0.0,0.2,0.0,1.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,289.19480698919944,100.01192956507221,0.34582892620477573
