,dt_opened,block_opened,position_days,hour_opened,day_opened,month_opened,weth_borrow_balance,weth_collateral_balance,weth_borrow_balance_share,weth_collateral_balance_share,usdc_borrow_balance,usdc_collateral_balance,usdc_borrow_balance_share,usdc_collateral_balance_share,wbtc_borrow_balance,wbtc_collateral_balance,wbtc_borrow_balance_share,wbtc_collateral_balance_share,comp_borrow_balance,comp_collateral_balance,comp_borrow_balance_share,comp_collateral_balance_share,uni_borrow_balance,uni_collateral_balance,uni_borrow_balance_share,uni_collateral_balance_share,link_borrow_balance,link_collateral_balance,link_borrow_balance_share,link_collateral_balance_share,collateral_usd_balance,borrow_usd_balance,borrow-collateral-ratio,liquidation_event_happened
0,26-8-2022,15412448,259.64999999999986,1,26,8,0.0,2.9999999999999997e-05,0.0,1.0,0.028404000000000002,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.050321463687632816,0.028406004202482082,0.5644908180495403,False
1,26-8-2022,15412659,259.64999999999986,2,26,8,0.0,0.0001,0.0,1.0,0.045042,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.16835328064176008,0.04504534908477592,0.2675644270967797,False
2,26-8-2022,15412833,259.64999999999986,2,26,8,0.0,0.001,0.0,1.0,0.163977,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.6843564979895158,0.1639892701755925,0.09736019089268433,False
3,26-8-2022,15414293,259.64999999999986,8,26,8,0.0,0.0,0.0,0.0,300.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,21.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,6448.19188839721,300.0199718516145,0.0465277673252042,False
4,26-8-2022,15416186,259.64999999999986,15,26,8,0.0,1.0,0.0,1.0,318.8835,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1600.4088537913226,318.8959468999725,0.1992590494263496,False
5,27-8-2022,15423930,259.64999999999986,21,27,8,0.0,0.0001,0.0,1.0,0.038796,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1478469034864825,0.03879684884935535,0.2624123193280305,False
6,29-8-2022,15432739,259.64999999999986,7,29,8,0.0,1e-07,0.0,1.0,8.7e-05,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.00014540915014389291,8.701189486593959e-05,0.5983935314925849,False
7,29-8-2022,15433952,259.64999999999986,11,29,8,0.0,0.2,0.0,1.0,100.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,289.19480698919944,100.01192956507221,0.3458289262047757,False
8,29-8-2022,15436656,259.64999999999986,22,29,8,0.0,0.10025630568466852,0.0,1.0,4e-06,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,154.83075218586995,4.0004153906565284e-06,2.583734390086888e-08,False
9,31-8-2022,15444774,102.0,5,31,8,0.0,176.5,0.0,1.0,188919.97078099998,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,283050.1499109428,188923.35475451587,0.6674554131624998,True
